CODGEO;indicator;category;startyear;endyear;NAISD16
01177;Naissances;Naissances domiciliées en 2016;2016;;1
01179;Naissances;Naissances domiciliées en 2016;2016;;13
01180;Naissances;Naissances domiciliées en 2016;2016;;6
01181;Naissances;Naissances domiciliées en 2016;2016;;8
01183;Naissances;Naissances domiciliées en 2016;2016;;16
01184;Naissances;Naissances domiciliées en 2016;2016;;6
01185;Naissances;Naissances domiciliées en 2016;2016;;35
01187;Naissances;Naissances domiciliées en 2016;2016;;4
01188;Naissances;Naissances domiciliées en 2016;2016;;11
01189;Naissances;Naissances domiciliées en 2016;2016;;13
01190;Naissances;Naissances domiciliées en 2016;2016;;1
01191;Naissances;Naissances domiciliées en 2016;2016;;0
01192;Naissances;Naissances domiciliées en 2016;2016;;20
01193;Naissances;Naissances domiciliées en 2016;2016;;2
01194;Naissances;Naissances domiciliées en 2016;2016;;83
01195;Naissances;Naissances domiciliées en 2016;2016;;12
01196;Naissances;Naissances domiciliées en 2016;2016;;15
01197;Naissances;Naissances domiciliées en 2016;2016;;3
01198;Naissances;Naissances domiciliées en 2016;2016;;1
01199;Naissances;Naissances domiciliées en 2016;2016;;22
01200;Naissances;Naissances domiciliées en 2016;2016;;0
01202;Naissances;Naissances domiciliées en 2016;2016;;88
01203;Naissances;Naissances domiciliées en 2016;2016;;7
01204;Naissances;Naissances domiciliées en 2016;2016;;8
01206;Naissances;Naissances domiciliées en 2016;2016;;3
01207;Naissances;Naissances domiciliées en 2016;2016;;3
01208;Naissances;Naissances domiciliées en 2016;2016;;1
01209;Naissances;Naissances domiciliées en 2016;2016;;20
01210;Naissances;Naissances domiciliées en 2016;2016;;3
01211;Naissances;Naissances domiciliées en 2016;2016;;15
01212;Naissances;Naissances domiciliées en 2016;2016;;7
01213;Naissances;Naissances domiciliées en 2016;2016;;11
01214;Naissances;Naissances domiciliées en 2016;2016;;0
01215;Naissances;Naissances domiciliées en 2016;2016;;1
01216;Naissances;Naissances domiciliées en 2016;2016;;7
01219;Naissances;Naissances domiciliées en 2016;2016;;2
01224;Naissances;Naissances domiciliées en 2016;2016;;42
01225;Naissances;Naissances domiciliées en 2016;2016;;6
01227;Naissances;Naissances domiciliées en 2016;2016;;7
01228;Naissances;Naissances domiciliées en 2016;2016;;10
01229;Naissances;Naissances domiciliées en 2016;2016;;14
01230;Naissances;Naissances domiciliées en 2016;2016;;1
01231;Naissances;Naissances domiciliées en 2016;2016;;29
01232;Naissances;Naissances domiciliées en 2016;2016;;14
01233;Naissances;Naissances domiciliées en 2016;2016;;0
01234;Naissances;Naissances domiciliées en 2016;2016;;0
01235;Naissances;Naissances domiciliées en 2016;2016;;13
01236;Naissances;Naissances domiciliées en 2016;2016;;8
01237;Naissances;Naissances domiciliées en 2016;2016;;19
01238;Naissances;Naissances domiciliées en 2016;2016;;28
01239;Naissances;Naissances domiciliées en 2016;2016;;6
01240;Naissances;Naissances domiciliées en 2016;2016;;3
01241;Naissances;Naissances domiciliées en 2016;2016;;14
01242;Naissances;Naissances domiciliées en 2016;2016;;1
01243;Naissances;Naissances domiciliées en 2016;2016;;17
01244;Naissances;Naissances domiciliées en 2016;2016;;93
01245;Naissances;Naissances domiciliées en 2016;2016;;16
01246;Naissances;Naissances domiciliées en 2016;2016;;34
01247;Naissances;Naissances domiciliées en 2016;2016;;4
01248;Naissances;Naissances domiciliées en 2016;2016;;20
01249;Naissances;Naissances domiciliées en 2016;2016;;127
01250;Naissances;Naissances domiciliées en 2016;2016;;20
01252;Naissances;Naissances domiciliées en 2016;2016;;6
01254;Naissances;Naissances domiciliées en 2016;2016;;24
01255;Naissances;Naissances domiciliées en 2016;2016;;6
01257;Naissances;Naissances domiciliées en 2016;2016;;4
01258;Naissances;Naissances domiciliées en 2016;2016;;11
01259;Naissances;Naissances domiciliées en 2016;2016;;9
01260;Naissances;Naissances domiciliées en 2016;2016;;2
01261;Naissances;Naissances domiciliées en 2016;2016;;7
01262;Naissances;Naissances domiciliées en 2016;2016;;86
01263;Naissances;Naissances domiciliées en 2016;2016;;37
01264;Naissances;Naissances domiciliées en 2016;2016;;17
01265;Naissances;Naissances domiciliées en 2016;2016;;39
01266;Naissances;Naissances domiciliées en 2016;2016;;16
01267;Naissances;Naissances domiciliées en 2016;2016;;4
01268;Naissances;Naissances domiciliées en 2016;2016;;1
01269;Naissances;Naissances domiciliées en 2016;2016;;42
01272;Naissances;Naissances domiciliées en 2016;2016;;20
01273;Naissances;Naissances domiciliées en 2016;2016;;23
01274;Naissances;Naissances domiciliées en 2016;2016;;6
01275;Naissances;Naissances domiciliées en 2016;2016;;28
01276;Naissances;Naissances domiciliées en 2016;2016;;23
01277;Naissances;Naissances domiciliées en 2016;2016;;1
01279;Naissances;Naissances domiciliées en 2016;2016;;0
01280;Naissances;Naissances domiciliées en 2016;2016;;0
01281;Naissances;Naissances domiciliées en 2016;2016;;41
01282;Naissances;Naissances domiciliées en 2016;2016;;1
01283;Naissances;Naissances domiciliées en 2016;2016;;260
01284;Naissances;Naissances domiciliées en 2016;2016;;8
01285;Naissances;Naissances domiciliées en 2016;2016;;13
01286;Naissances;Naissances domiciliées en 2016;2016;;6
01288;Naissances;Naissances domiciliées en 2016;2016;;20
01289;Naissances;Naissances domiciliées en 2016;2016;;54
01290;Naissances;Naissances domiciliées en 2016;2016;;13
01291;Naissances;Naissances domiciliées en 2016;2016;;8
01293;Naissances;Naissances domiciliées en 2016;2016;;2
01294;Naissances;Naissances domiciliées en 2016;2016;;10
01295;Naissances;Naissances domiciliées en 2016;2016;;10
01296;Naissances;Naissances domiciliées en 2016;2016;;3
01297;Naissances;Naissances domiciliées en 2016;2016;;14
01298;Naissances;Naissances domiciliées en 2016;2016;;4
01299;Naissances;Naissances domiciliées en 2016;2016;;7
01301;Naissances;Naissances domiciliées en 2016;2016;;31
01302;Naissances;Naissances domiciliées en 2016;2016;;2
01303;Naissances;Naissances domiciliées en 2016;2016;;28
01304;Naissances;Naissances domiciliées en 2016;2016;;26
01305;Naissances;Naissances domiciliées en 2016;2016;;20
01306;Naissances;Naissances domiciliées en 2016;2016;;10
01307;Naissances;Naissances domiciliées en 2016;2016;;10
01308;Naissances;Naissances domiciliées en 2016;2016;;4
01309;Naissances;Naissances domiciliées en 2016;2016;;1
01310;Naissances;Naissances domiciliées en 2016;2016;;1
01311;Naissances;Naissances domiciliées en 2016;2016;;0
01313;Naissances;Naissances domiciliées en 2016;2016;;75
01314;Naissances;Naissances domiciliées en 2016;2016;;22
01317;Naissances;Naissances domiciliées en 2016;2016;;5
01318;Naissances;Naissances domiciliées en 2016;2016;;6
01319;Naissances;Naissances domiciliées en 2016;2016;;5
01320;Naissances;Naissances domiciliées en 2016;2016;;36
01321;Naissances;Naissances domiciliées en 2016;2016;;8
01322;Naissances;Naissances domiciliées en 2016;2016;;42
01323;Naissances;Naissances domiciliées en 2016;2016;;9
01325;Naissances;Naissances domiciliées en 2016;2016;;12
01328;Naissances;Naissances domiciliées en 2016;2016;;5
01329;Naissances;Naissances domiciliées en 2016;2016;;0
01330;Naissances;Naissances domiciliées en 2016;2016;;1
01331;Naissances;Naissances domiciliées en 2016;2016;;4
01332;Naissances;Naissances domiciliées en 2016;2016;;2
01333;Naissances;Naissances domiciliées en 2016;2016;;35
01334;Naissances;Naissances domiciliées en 2016;2016;;12
01335;Naissances;Naissances domiciliées en 2016;2016;;6
01336;Naissances;Naissances domiciliées en 2016;2016;;10
01337;Naissances;Naissances domiciliées en 2016;2016;;10
01338;Naissances;Naissances domiciliées en 2016;2016;;18
01339;Naissances;Naissances domiciliées en 2016;2016;;11
01342;Naissances;Naissances domiciliées en 2016;2016;;5
01343;Naissances;Naissances domiciliées en 2016;2016;;28
01344;Naissances;Naissances domiciliées en 2016;2016;;54
01345;Naissances;Naissances domiciliées en 2016;2016;;21
